Transaction_Id,Date,Time,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Total_Amount
T2023000001,2023-01-01,19:59:00,P0153,Samyang Buldak Cheese Cup,Noodles,3,110.0,0.0,330.0
T2023000001,2023-01-01,19:59:00,P0065,Sempio Spicy Stir-Fried Dried Squid,Food Fresh/Meat/Sidedish,1,175.0,0.0,175.0
T2023000001,2023-01-01,19:59:00,P0235,O'Food Kimchi Base Sauce,Seasoned/Sauce/Powder,3,130.0,0.0,390.0
T2023000001,2023-01-01,19:59:00,P0114,Banana Milk 200mL 6Pcs,Liquor/Beverage,1,290.0,0.05,275.5
T2023000002,2023-01-01,20:39:00,P0115,Strawberry Milk 200mL 6Pcs,Liquor/Beverage,2,290.0,0.0,580.0
T2023000003,2023-01-01,19:53:00,P0244,Wasabi Almond 190g,Snacks,2,440.0,0.1,792.0
T2023000005,2023-01-01,13:26:00,P0026,Yopokki Sweet & Spicy 280g,Dry Food,3,145.0,0.0,435.0
T2023000006,2023-01-01,11:12:00,P0159,Nongshim Neuguri Cup 111g,Noodles,1,90.0,0.0,90.0
T2023000006,2023-01-01,11:12:00,P0048,Dongwon Light Tuna,Dry Food,6,75.0,0.0,450.0
T2023000006,2023-01-01,11:12:00,P0026,Yopokki Sweet & Spicy 280g,Dry Food,2,145.0,0.0,290.0
T2023000006,2023-01-01,11:12:00,P0248,Choco Pie Black Sugar 12Pcs,Snacks,2,200.0,0.0,400.0
T2023000007,2023-01-01,18:26:00,P0294,Pepero Strawberry,Snacks,3,55.0,0.0,165.0
T2023000007,2023-01-01,18:26:00,P0123,Cass Cold Brewed Beer 500mL,Liquor/Beverage,1,170.0,0.0,170.0
T2023000007,2023-01-01,18:26:00,P0004,O'Food Korean Chili Oil,Condiments,2,160.0,0.0,320.0
T2023000007,2023-01-01,18:26:00,P0248,Choco Pie Black Sugar 12Pcs,Snacks,1,200.0,0.0,200.0
T2023000008,2023-01-01,08:27:00,P0248,Choco Pie Black Sugar 12Pcs,Snacks,2,200.0,0.0,400.0
T2023000008,2023-01-01,08:27:00,P0271,Orion Choco Chip Cookies,Snacks,2,100.0,0.0,200.0
T2023000008,2023-01-01,08:27:00,P0251,Oil Fried & Salted Peanuts,Snacks,2,185.0,0.15,314.5
T2023000009,2023-01-01,10:59:00,P0244,Wasabi Almond 190g,Snacks,1,440.0,0.0,440.0
T2023000009,2023-01-01,10:59:00,P0248,Choco Pie Black Sugar 12Pcs,Snacks,3,200.0,0.0,600.0
T2023000009,2023-01-01,10:59:00,P0201,Sewoo Tang Small Cup,Noodles,2,50.0,0.0,100.0
T2023000009,2023-01-01,10:59:00,P0298,Pepero White Cookie,Snacks,5,55.0,0.0,275.0
T2023000010,2023-01-01,13:42:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,1,170.0,0.0,170.0
T2023000010,2023-01-01,13:42:00,P0247,Choco Pie Green Tea 12Pcs,Snacks,2,200.0,0.0,400.0
T2023000010,2023-01-01,13:42:00,P0252,Lotte Banana Choco Pie 12Pcs,Snacks,3,180.0,0.0,540.0
T2023000011,2023-01-01,19:22:00,P0300,Can Choco Balls,Snacks,5,45.0,0.0,225.0
T2023000011,2023-01-01,19:22:00,P0296,Lotte Cereal Choco,Snacks,6,55.0,0.0,330.0
T2023000011,2023-01-01,19:22:00,P0295,Pepero Almond,Snacks,5,55.0,0.0,275.0
T2023000011,2023-01-01,19:22:00,P0226,CJ Beksul Sweet Korean Pancake Mix 400g,Seasoned/Sauce/Powder,2,155.0,0.0,310.0
T2023000012,2023-01-01,11:04:00,P0125,Jinro Fresh Soju,Liquor/Beverage,1,170.0,0.0,170.0
T2023000012,2023-01-01,11:04:00,P0165,Samyang Cream Carbo Buldak 140g,Noodles,4,88.0,0.0,352.0
T2023000012,2023-01-01,11:04:00,P0025,Sempio Yellow Peach In Can 400g,Dry Food,1,145.0,0.0,145.0
T2023000013,2023-01-01,17:23:00,P0144,Nongshim Welchs Strawberry 355mL,Liquor/Beverage,3,60.0,0.0,180.0
T2023000013,2023-01-01,17:23:00,P0247,Choco Pie Green Tea 12Pcs,Snacks,1,200.0,0.0,200.0
T2023000013,2023-01-01,17:23:00,P0026,Yopokki Sweet & Spicy 280g,Dry Food,3,145.0,0.0,435.0
T2023000013,2023-01-01,17:23:00,P0174,Ottogi Cheese Bokki Cup,Noodles,1,75.0,0.05,71.25
T2023000014,2023-01-01,15:11:00,P0035,CJ  Multi-Grains Cooked Rice 210g,Dry Food,2,110.0,0.0,220.0
T2023000014,2023-01-01,15:11:00,P0157,Nongshim Yachae Ramyeon 100g,Noodles,3,93.0,0.0,279.0
T2023000014,2023-01-01,15:11:00,P0258,Orion Custard Choco Cake,Snacks,3,130.0,0.0,390.0
T2023000014,2023-01-01,15:11:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,2,170.0,0.0,340.0
T2023000016,2023-01-01,11:00:00,P0164,Samyang Buldak 4 Cheese 145g,Noodles,2,88.0,0.0,176.0
T2023000016,2023-01-01,11:00:00,P0204,Ottogi Cup Ramen Kimchi,Noodles,2,50.0,0.0,100.0
T2023000017,2023-01-01,11:11:00,P0008,Ottogi Corn Syrup,Condiments,3,98.0,0.0,294.0
T2023000018,2023-01-01,12:12:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,1,170.0,0.0,170.0
T2023000019,2023-01-01,13:12:00,P0144,Nongshim Welchs Strawberry 355mL,Liquor/Beverage,5,60.0,0.0,300.0
T2023000019,2023-01-01,13:12:00,P0204,Ottogi Cup Ramen Kimchi,Noodles,1,50.0,0.0,50.0
T2023000020,2023-01-01,19:46:00,P0146,Binggrae Yogurt Drink,Liquor/Beverage,6,55.0,0.0,330.0
T2023000020,2023-01-01,19:46:00,P0247,Choco Pie Green Tea 12Pcs,Snacks,3,200.0,0.0,600.0
T2023000020,2023-01-01,19:46:00,P0186,Ottogi Chachelin Blackbean 145g,Noodles,4,60.0,0.0,240.0
T2023000020,2023-01-01,19:46:00,P0241,CJ Anchovy Sauce 500g,Seasoned/Sauce/Powder,1,105.0,0.0,105.0
T2023000021,2023-01-01,13:10:00,P0245,Honey Butter Almond 190g,Snacks,1,420.0,0.0,420.0
T2023000021,2023-01-01,13:10:00,P0067,Wasabi Radish Wrapper 340g,Food Fresh/Meat/Sidedish,2,145.0,0.0,290.0
T2023000021,2023-01-01,13:10:00,P0029,CJ Beksul Pancake Flour,Dry Food,2,125.0,0.0,250.0
T2023000021,2023-01-01,13:10:00,P0018,(Kaya) Korean Rice 1.5Kg,Dry Food,2,190.0,0.0,380.0
T2023000022,2023-01-01,19:07:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,3,170.0,0.0,510.0
T2023000022,2023-01-01,19:07:00,P0201,Sewoo Tang Small Cup,Noodles,4,50.0,0.15,170.0
T2023000023,2023-01-01,16:52:00,P0031,Yopokki Cheese Cup 120g,Dry Food,3,120.0,0.0,360.0
T2023000023,2023-01-01,16:52:00,P0115,Strawberry Milk 200mL 6Pcs,Liquor/Beverage,3,290.0,0.0,870.0
T2023000023,2023-01-01,16:52:00,P0039,Ottogi 3Mins Curry,Dry Food,1,99.0,0.1,89.1
T2023000023,2023-01-01,16:52:00,P0032,Samlip Mini Kimbap,Dry Food,2,120.0,0.0,240.0
T2023000024,2023-01-01,18:22:00,P0140,Woongjin Yogurt Peach 340mL,Liquor/Beverage,6,60.0,0.15,306.0
T2023000024,2023-01-01,18:22:00,P0297,Pepero Choco Filled,Snacks,1,55.0,0.0,55.0
T2023000024,2023-01-01,18:22:00,P0245,Honey Butter Almond 190g,Snacks,3,420.0,0.0,1260.0
T2023000024,2023-01-01,18:22:00,P0244,Wasabi Almond 190g,Snacks,3,440.0,0.0,1320.0
T2023000025,2023-01-01,19:41:00,P0026,Yopokki Sweet & Spicy 280g,Dry Food,3,145.0,0.0,435.0
T2023000026,2023-01-01,13:51:00,P0211,Ottogi Jin Ramen Hot,Noodles,6,40.0,0.0,240.0
T2023000026,2023-01-01,13:51:00,P0098,Daerim  Crabstick 216g,Food Frozen,2,98.0,0.0,196.0
T2023000026,2023-01-01,13:51:00,P0166,Samyang Buldak Original,Noodles,3,88.0,0.0,264.0
T2023000026,2023-01-01,13:51:00,P0270,Samlip Custard Cream Cake,Snacks,2,105.0,0.15,178.5
T2023000027,2023-01-01,14:25:00,P0150,Samyang Buldak Rosã Ramen 105g,Noodles,2,110.0,0.0,220.0
T2023000027,2023-01-01,14:25:00,P0198,Paldo Koreno Beef Noodle 100g,Noodles,4,50.0,0.0,200.0
T2023000027,2023-01-01,14:25:00,P0176,Ottogi Cheese Bokki Cup,Noodles,6,72.0,0.0,432.0
T2023000028,2023-01-01,11:06:00,P0181,Paldo Bibim Cold Noodles,Noodles,2,65.0,0.0,130.0
T2023000028,2023-01-01,11:06:00,P0183,Samyang Kimchi Ramen Bowl,Noodles,4,65.0,0.0,260.0
T2023000028,2023-01-01,11:06:00,P0153,Samyang Buldak Cheese Cup,Noodles,1,110.0,0.0,110.0
T2023000029,2023-01-01,16:55:00,P0125,Jinro Fresh Soju,Liquor/Beverage,2,170.0,0.0,340.0
T2023000029,2023-01-01,16:55:00,P0247,Choco Pie Green Tea 12Pcs,Snacks,2,200.0,0.05,380.0
T2023000029,2023-01-01,16:55:00,P0203,Jin Ramen Spicy Cup,Noodles,1,50.0,0.05,47.5
T2023000029,2023-01-01,16:55:00,P0291,Crown Sando Biscuit,Snacks,4,75.0,0.0,300.0
T2023000030,2023-01-01,11:56:00,P0164,Samyang Buldak 4 Cheese 145g,Noodles,2,88.0,0.0,176.0
T2023000030,2023-01-01,11:56:00,P0027,Yopokki Cheese 240g,Dry Food,2,145.0,0.1,261.0
T2023000030,2023-01-01,11:56:00,P0011,CJ  Cooked Rice Plain 210g,Dry Food,2,365.0,0.0,730.0
T2023000030,2023-01-01,11:56:00,P0241,CJ Anchovy Sauce 500g,Seasoned/Sauce/Powder,2,105.0,0.0,210.0
T2023000031,2023-01-01,14:57:00,P0004,O'Food Korean Chili Oil,Condiments,3,160.0,0.0,480.0
T2023000031,2023-01-01,14:57:00,P0242,CJ  Gochujang 200g,Seasoned/Sauce/Powder,1,100.0,0.0,100.0
T2023000032,2023-01-01,13:11:00,P0133,Sunhari Blueberry 360mL,Liquor/Beverage,1,120.0,0.0,120.0
T2023000032,2023-01-01,13:11:00,P0272,Haitai  Sunkist Candy 125g,Snacks,1,95.0,0.0,95.0
T2023000032,2023-01-01,13:11:00,P0292,Orion Goraebab Crackers,Snacks,5,75.0,0.0,375.0
T2023000032,2023-01-01,13:11:00,P0244,Wasabi Almond 190g,Snacks,1,440.0,0.0,440.0
T2023000033,2023-01-01,19:56:00,P0232,O'Food Tofu Stew Base,Seasoned/Sauce/Powder,1,135.0,0.0,135.0
T2023000034,2023-01-01,19:38:00,P0244,Wasabi Almond 190g,Snacks,2,440.0,0.1,792.0
T2023000034,2023-01-01,19:38:00,P0080,Samyang Buldak Original Spicy Mandu 700g,Food Frozen,2,410.0,0.0,820.0
T2023000034,2023-01-01,19:38:00,P0250,Haitai Honey Butter Almonds,Snacks,1,190.0,0.15,161.5
T2023000034,2023-01-01,19:38:00,P0245,Honey Butter Almond 190g,Snacks,2,420.0,0.0,840.0
T2023000035,2023-01-01,20:41:00,P0048,Dongwon Light Tuna,Dry Food,5,75.0,0.0,375.0
T2023000035,2023-01-01,20:41:00,P0031,Yopokki Cheese Cup 120g,Dry Food,3,120.0,0.1,324.0
