Transaction_Id,Date,Time,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Total_Amount
T2025000001,2025-11-03,18:54:00,P0125,Jinro Fresh Soju,Liquor/Beverage,2,170.0,0.0,340.0
T2025000001,2025-11-03,18:54:00,P0032,Samlip Mini Kimbap,Dry Food,2,120.0,0.0,240.0
T2025000001,2025-11-03,18:54:00,P0076,CJ  Crispy Hotdog,Food Frozen,1,640.0,0.0,640.0
T2025000001,2025-11-03,18:54:00,P0071,Kongsarang Firm Tofu,Food Fresh/Meat/Sidedish,5,65.0,0.1,292.5
T2025000002,2025-11-03,18:05:00,P0257,Lotte Almond Chocolate,Snacks,1,130.0,0.0,130.0
T2025000002,2025-11-03,18:05:00,P0180,Samyang Curry Ramen,Noodles,4,68.0,0.0,272.0
T2025000002,2025-11-03,18:05:00,P0181,Paldo Bibim Cold Noodles,Noodles,2,65.0,0.0,130.0
T2025000002,2025-11-03,18:05:00,P0001,Ottogi Sesame Oil 500mL,Condiments,1,590.5,0.15,501.93
T2025000002,2025-11-03,18:05:00,P0102,MWC Tteok Galbi Bar,Food Frozen,3,75.0,0.0,225.0
T2025000003,2025-11-03,13:29:00,P0115,Strawberry Milk 200mL 6Pcs,Liquor/Beverage,1,290.0,0.0,290.0
T2025000003,2025-11-03,13:29:00,P0177,Ottogi Beef Seaweed Soup Ramen,Noodles,1,70.0,0.0,70.0
T2025000003,2025-11-03,13:29:00,P0165,Samyang Cream Carbo Buldak 140g,Noodles,1,88.0,0.1,79.2
T2025000003,2025-11-03,13:29:00,P0241,CJ Anchovy Sauce 500g,Seasoned/Sauce/Powder,2,105.0,0.0,210.0
T2025000004,2025-11-03,19:47:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,1,170.0,0.0,170.0
T2025000004,2025-11-03,19:47:00,P0027,Yopokki Cheese 240g,Dry Food,1,145.0,0.0,145.0
T2025000005,2025-11-03,17:05:00,P0125,Jinro Fresh Soju,Liquor/Beverage,1,170.0,0.0,170.0
T2025000005,2025-11-03,17:05:00,P0279,Orion O! Karto Sweet Corn,Snacks,3,88.0,0.0,264.0
T2025000005,2025-11-03,17:05:00,P0291,Crown Sando Biscuit,Snacks,2,75.0,0.0,150.0
T2025000005,2025-11-03,17:05:00,P0240,Ottogi Spaghetti Sauce,Seasoned/Sauce/Powder,2,115.0,0.0,230.0
T2025000006,2025-11-03,13:19:00,P0140,Woongjin Yogurt Peach 340mL,Liquor/Beverage,1,60.0,0.0,60.0
T2025000006,2025-11-03,13:19:00,P0296,Lotte Cereal Choco,Snacks,4,55.0,0.0,220.0
T2025000007,2025-11-03,12:43:00,P0148,Binggrae Strawberry Milk,Liquor/Beverage,3,45.0,0.0,135.0
T2025000008,2025-11-03,19:43:00,P0190,Nongshim Tempura Udon Cup,Noodles,5,60.0,0.0,300.0
T2025000008,2025-11-03,19:43:00,P0040,Ottogi Sweet Corn 340g,Dry Food,3,95.0,0.05,270.75
T2025000009,2025-11-03,17:16:00,P0172,Ottogi Jin Hot Big Cup,Noodles,1,75.0,0.0,75.0
T2025000009,2025-11-03,17:16:00,P0125,Jinro Fresh Soju,Liquor/Beverage,2,170.0,0.0,340.0
T2025000009,2025-11-03,17:16:00,P0283,Orion Ogingo Ttangkong,Snacks,3,83.0,0.0,249.0
