Transaction_ID,Date,Time,Product_ID,Product_Name,Quantity,Unit_Price,Total_Amount
1000,2024-01-01,18:29,P010,Korean Kimchi 500g,1,93.98,93.98
1001,2024-01-01,11:25,P007,CJ Cooked White Rice,2,74.96,149.92
1002,2024-01-01,19:49,P006,Lotte Pepero Almond,4,259.99,1039.96
1003,2024-01-01,18:46,P006,Lotte Pepero Almond,3,189.42,568.26
1004,2024-01-01,15:38,P010,Korean Kimchi 500g,3,191.74,575.22
1005,2024-01-01,18:51,P003,Chum Churum Soju,1,236.09,236.09
1006,2024-01-01,18:04,P007,CJ Cooked White Rice,4,97.82,391.28
1007,2024-01-01,8:39,P007,CJ Cooked White Rice,2,141.21,282.42
1008,2024-01-01,14:08,P003,Chum Churum Soju,5,245.85,1229.25
1009,2024-01-01,14:15,P009,Gochujang Paste,2,350.18,700.36
1010,2024-01-01,9:40,P009,Gochujang Paste,2,79.84,159.68
1011,2024-01-01,8:49,P004,Ottogi Jin Ramen,3,285.69,857.07
1012,2024-01-01,15:23,P009,Gochujang Paste,4,292.64,1170.56
1013,2024-01-01,8:55,P005,Binggrae Banana Milk,3,118.68,356.04
1014,2024-01-01,10:28,P005,Binggrae Banana Milk,4,291.76,1167.04
1015,2024-01-01,8:28,P001,Samyang Hot Chicken Ramen,1,362.06,362.06
1016,2024-01-01,17:53,P003,Chum Churum Soju,3,314.57,943.71
1017,2024-01-01,11:51,P007,CJ Cooked White Rice,5,184.22,921.1
1018,2024-01-01,16:06,P009,Gochujang Paste,2,363.39,726.78
1019,2024-01-01,16:07,P009,Gochujang Paste,3,61.96,185.88
1020,2024-01-01,17:16,P006,Lotte Pepero Almond,3,198.71,596.13
1021,2024-01-01,20:33,P010,Korean Kimchi 500g,3,219.22,657.66
1022,2024-01-01,12:47,P006,Lotte Pepero Almond,4,298.85,1195.4
1023,2024-01-01,15:12,P002,Bibigo Gyoza Dumplings,2,163.21,326.42
1024,2024-01-01,20:38,P008,Maxim Coffee Mix,4,320.13,1280.52
1025,2024-01-01,21:38,P001,Samyang Hot Chicken Ramen,5,66.59,332.95
1026,2024-01-01,12:11,P005,Binggrae Banana Milk,4,138.39,553.56
1027,2024-01-01,17:07,P005,Binggrae Banana Milk,1,99.27,99.27
1028,2024-01-01,11:46,P005,Binggrae Banana Milk,3,172.6,517.8
1029,2024-01-02,18:25,P008,Maxim Coffee Mix,5,337.07,1685.35
1030,2024-01-02,9:20,P009,Gochujang Paste,2,88.41,176.82
1031,2024-01-02,9:48,P001,Samyang Hot Chicken Ramen,1,268.15,268.15
1032,2024-01-02,10:18,P005,Binggrae Banana Milk,4,172.79,691.16
1033,2024-01-02,17:19,P008,Maxim Coffee Mix,2,182.63,365.26
1034,2024-01-02,12:15,P007,CJ Cooked White Rice,4,184.88,739.52
1035,2024-01-02,20:25,P006,Lotte Pepero Almond,2,209.48,418.96
1036,2024-01-02,15:50,P002,Bibigo Gyoza Dumplings,3,296.36,889.08
1037,2024-01-02,11:41,P007,CJ Cooked White Rice,3,124.38,373.14
1038,2024-01-02,11:43,P008,Maxim Coffee Mix,3,254.81,764.43
1039,2024-01-02,9:19,P006,Lotte Pepero Almond,4,377.6,1510.4
1040,2024-01-02,21:45,P004,Ottogi Jin Ramen,3,74.79,224.37
1041,2024-01-02,20:48,P003,Chum Churum Soju,3,103.31,309.93
