Transaction_Id,Date,Time,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Total_Amount
T2021000001,2021-01-01,10:16:00,P0144,Nongshim Welchs Strawberry 355mL,Liquor/Beverage,5,60.0,0.0,300.0
T2021000001,2021-01-01,10:16:00,P0293,Lotte Sand Biscuit,Snacks,2,75.0,0.0,150.0
T2021000001,2021-01-01,10:16:00,P0203,Jin Ramen Spicy Cup,Noodles,1,50.0,0.0,50.0
T2021000001,2021-01-01,10:16:00,P0171,Tempura Udon Big Cup,Noodles,5,75.0,0.0,375.0
T2021000002,2021-01-01,11:42:00,P0132,Sunhari Strawberry 360mL,Liquor/Beverage,1,120.0,0.0,120.0
T2021000002,2021-01-01,11:42:00,P0163,Samyang Buldak Rose 140g,Noodles,6,88.0,0.05,501.6
T2021000002,2021-01-01,11:42:00,P0178,Samyang Mala Buldak,Noodles,5,70.0,0.0,350.0
T2021000002,2021-01-01,11:42:00,P0191,Paldo Teumsae Ramen,Noodles,6,60.0,0.0,360.0
T2021000003,2021-01-01,09:08:00,P0147,Binggrae Coffee Milk,Liquor/Beverage,3,48.0,0.0,144.0
T2021000003,2021-01-01,09:08:00,P0152,Samyang Buldak Original Cup,Noodles,3,110.0,0.05,313.5
T2021000003,2021-01-01,09:08:00,P0164,Samyang Buldak 4 Cheese 145g,Noodles,3,88.0,0.0,264.0
T2021000004,2021-01-01,13:34:00,P0299,Lotte Xylitol Green Gum,Snacks,2,55.0,0.0,110.0
T2021000005,2021-01-01,12:37:00,P0128,Chamiseul Fresh 360mL,Liquor/Beverage,1,120.0,0.0,120.0
T2021000005,2021-01-01,12:37:00,P0190,Nongshim Tempura Udon Cup,Noodles,2,60.0,0.0,120.0
T2021000005,2021-01-01,12:37:00,P0169,Samyang Buldak Stew Type 145g,Noodles,1,80.0,0.0,80.0
T2021000005,2021-01-01,12:37:00,P0058,Homemade Kimchi 850g,Food Fresh/Meat/Sidedish,3,290.0,0.0,870.0
T2021000006,2021-01-01,10:16:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,2,170.0,0.0,340.0
T2021000006,2021-01-01,10:16:00,P0245,Honey Butter Almond 190g,Snacks,1,420.0,0.0,420.0
T2021000006,2021-01-01,10:16:00,P0250,Haitai Honey Butter Almonds,Snacks,3,190.0,0.0,570.0
T2021000006,2021-01-01,10:16:00,P0293,Lotte Sand Biscuit,Snacks,5,75.0,0.05,356.25
T2021000008,2021-01-01,12:28:00,P0046,CJ Beksul Potato Starch,Dry Food,1,85.0,0.0,85.0
T2021000008,2021-01-01,12:28:00,P0009,CJ Beksul Corn Syrup,Condiments,3,95.0,0.0,285.0
T2021000008,2021-01-01,12:28:00,P0224,Seasoned Seaweed 200g,Seasoned/Sauce/Powder,2,190.0,0.1,342.0
T2021000009,2021-01-01,11:43:00,P0177,Ottogi Beef Seaweed Soup Ramen,Noodles,4,70.0,0.0,280.0
T2021000009,2021-01-01,11:43:00,P0150,Samyang Buldak Rosã Ramen 105g,Noodles,3,110.0,0.0,330.0
T2021000009,2021-01-01,11:43:00,P0027,Yopokki Cheese 240g,Dry Food,3,145.0,0.0,435.0
T2021000009,2021-01-01,11:43:00,P0283,Orion Ogingo Ttangkong,Snacks,3,83.0,0.0,249.0
T2021000010,2021-01-01,19:10:00,P0295,Pepero Almond,Snacks,5,55.0,0.0,275.0
T2021000010,2021-01-01,19:10:00,P0253,Orion Market O Brownie,Snacks,2,170.0,0.0,340.0
T2021000010,2021-01-01,19:10:00,P0187,Paldo Bibim Men,Noodles,3,60.0,0.0,180.0
T2021000011,2021-01-01,12:29:00,P0296,Lotte Cereal Choco,Snacks,6,55.0,0.0,330.0
T2021000011,2021-01-01,12:29:00,P0248,Choco Pie Black Sugar 12Pcs,Snacks,1,200.0,0.15,170.0
T2021000011,2021-01-01,12:29:00,P0004,O'Food Korean Chili Oil,Condiments,1,160.0,0.0,160.0
T2021000012,2021-01-01,11:14:00,P0138,Kirin Ichiban Beer 330mL,Liquor/Beverage,4,68.0,0.05,258.4
T2021000013,2021-01-01,18:40:00,P0129,Sunhari Grape 360mL,Liquor/Beverage,2,120.0,0.0,240.0
T2021000013,2021-01-01,18:40:00,P0287,Nongshim Banana Kick 75g,Snacks,5,80.0,0.1,360.0
T2021000013,2021-01-01,18:40:00,P0190,Nongshim Tempura Udon Cup,Noodles,4,60.0,0.0,240.0
T2021000013,2021-01-01,18:40:00,P0236,CJ  Soybean Paste 500g,Seasoned/Sauce/Powder,1,123.0,0.0,123.0
T2021000015,2021-01-01,12:12:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,1,170.0,0.0,170.0
T2021000015,2021-01-01,12:12:00,P0296,Lotte Cereal Choco,Snacks,3,55.0,0.0,165.0
T2021000015,2021-01-01,12:12:00,P0204,Ottogi Cup Ramen Kimchi,Noodles,6,50.0,0.0,300.0
T2021000015,2021-01-01,12:12:00,P0072,Kongsarang Soft Tofu,Food Fresh/Meat/Sidedish,3,65.0,0.0,195.0
