Transaction_Id,Date,Time,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Total_Amount
T2022000001,2022-01-01,13:07:00,P0292,Orion Goraebab Crackers,Snacks,5,75.0,0.0,375.0
T2022000001,2022-01-01,13:07:00,P0182,Paldo Ilpoom Jjajang,Noodles,1,65.0,0.0,65.0
T2022000001,2022-01-01,13:07:00,P0150,Samyang Buldak Rosã Ramen 105g,Noodles,2,110.0,0.0,220.0
T2022000001,2022-01-01,13:07:00,P0169,Samyang Buldak Stew Type 145g,Noodles,2,80.0,0.15,136.0
T2022000002,2022-01-01,15:22:00,P0114,Banana Milk 200mL 6Pcs,Liquor/Beverage,1,290.0,0.0,290.0
T2022000002,2022-01-01,15:22:00,P0166,Samyang Buldak Original,Noodles,1,88.0,0.0,88.0
T2022000002,2022-01-01,15:22:00,P0150,Samyang Buldak Rosã Ramen 105g,Noodles,3,110.0,0.0,330.0
T2022000002,2022-01-01,15:22:00,P0104,Pepero Original,Food Frozen,5,55.0,0.0,275.0
T2022000003,2022-01-01,11:19:00,P0197,Nongshim Seafood Ramyun,Noodles,6,52.0,0.0,312.0
T2022000003,2022-01-01,11:19:00,P0244,Wasabi Almond 190g,Snacks,3,440.0,0.0,1320.0
T2022000003,2022-01-01,11:19:00,P0140,Woongjin Yogurt Peach 340mL,Liquor/Beverage,4,60.0,0.0,240.0
T2022000003,2022-01-01,11:19:00,P0152,Samyang Buldak Original Cup,Noodles,2,110.0,0.0,220.0
T2022000004,2022-01-01,13:08:00,P0115,Strawberry Milk 200mL 6Pcs,Liquor/Beverage,3,290.0,0.0,870.0
T2022000004,2022-01-01,13:08:00,P0152,Samyang Buldak Original Cup,Noodles,2,110.0,0.0,220.0
T2022000004,2022-01-01,13:08:00,P0166,Samyang Buldak Original,Noodles,5,88.0,0.0,440.0
T2022000005,2022-01-01,13:13:00,P0163,Samyang Buldak Rose 140g,Noodles,4,88.0,0.0,352.0
