Transaction_Id,Date,Time,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Total_Amount
T2025000001,03/11/2025,18:54:00,P0125,Jinro Fresh Soju,Liquor/Beverage,2,170,0,340
T2025000001,03/11/2025,18:54:00,P0032,Samlip Mini Kimbap,Dry Food,2,120,0,240
T2025000001,03/11/2025,18:54:00,P0076,CJ  Crispy Hotdog,Food Frozen,1,640,0,640
T2025000001,03/11/2025,18:54:00,P0071,Kongsarang Firm Tofu,Food Fresh/Meat/Sidedish,5,65,0.1,292.5
T2025000002,03/11/2025,18:05:00,P0257,Lotte Almond Chocolate,Snacks,1,130,0,130
T2025000002,03/11/2025,18:05:00,P0180,Samyang Curry Ramen,Noodles,4,68,0,272
T2025000002,03/11/2025,18:05:00,P0181,Paldo Bibim Cold Noodles,Noodles,2,65,0,130
T2025000002,03/11/2025,18:05:00,P0001,Ottogi Sesame Oil 500mL,Condiments,1,590.5,0.15,501.93
T2025000002,03/11/2025,18:05:00,P0102,MWC Tteok Galbi Bar,Food Frozen,3,75,0,225
T2025000003,03/11/2025,13:29:00,P0115,Strawberry Milk 200mL 6Pcs,Liquor/Beverage,1,290,0,290
T2025000003,03/11/2025,13:29:00,P0177,Ottogi Beef Seaweed Soup Ramen,Noodles,1,70,0,70
T2025000003,03/11/2025,13:29:00,P0165,Samyang Cream Carbo Buldak 140g,Noodles,1,88,0.1,79.2
T2025000003,03/11/2025,13:29:00,P0241,CJ Anchovy Sauce 500g,Seasoned/Sauce/Powder,2,105,0,210
T2025000004,03/11/2025,19:47:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,1,170,0,170
T2025000004,03/11/2025,19:47:00,P0027,Yopokki Cheese 240g,Dry Food,1,145,0,145
T2025000005,03/11/2025,17:05:00,P0125,Jinro Fresh Soju,Liquor/Beverage,1,170,0,170
T2025000005,03/11/2025,17:05:00,P0279,Orion O! Karto Sweet Corn,Snacks,3,88,0,264
T2025000005,03/11/2025,17:05:00,P0291,Crown Sando Biscuit,Snacks,2,75,0,150
T2025000005,03/11/2025,17:05:00,P0240,Ottogi Spaghetti Sauce,Seasoned/Sauce/Powder,2,115,0,230
T2025000006,03/11/2025,13:19:00,P0140,Woongjin Yogurt Peach 340mL,Liquor/Beverage,1,60,0,60
T2025000006,03/11/2025,13:19:00,P0296,Lotte Cereal Choco,Snacks,4,55,0,220
T2025000007,03/11/2025,12:43:00,P0148,Binggrae Strawberry Milk,Liquor/Beverage,3,45,0,135
T2025000008,03/11/2025,19:43:00,P0190,Nongshim Tempura Udon Cup,Noodles,5,60,0,300
T2025000008,03/11/2025,19:43:00,P0040,Ottogi Sweet Corn 340g,Dry Food,3,95,0.05,270.75
T2025000009,03/11/2025,17:16:00,P0172,Ottogi Jin Hot Big Cup,Noodles,1,75,0,75
T2025000009,03/11/2025,17:16:00,P0125,Jinro Fresh Soju,Liquor/Beverage,2,170,0,340
T2025000009,03/11/2025,17:16:00,P0283,Orion Ogingo Ttangkong,Snacks,3,83,0,249
T2025000009,03/11/2025,17:16:00,P0232,O'Food Tofu Stew Base,Seasoned/Sauce/Powder,2,135,0,270
T2025000009,03/11/2025,17:16:00,P0048,Dongwon Light Tuna,Dry Food,2,75,0,150
T2025000010,03/11/2025,17:17:00,P0123,Cass Cold Brewed Beer 500mL,Liquor/Beverage,1,170,0,170
T2025000010,03/11/2025,17:17:00,P0157,Nongshim Yachae Ramyeon 100g,Noodles,3,93,0,279
T2025000010,03/11/2025,17:17:00,P0153,Samyang Buldak Cheese Cup,Noodles,2,110,0,220
T2025000011,03/11/2025,21:42:00,P0147,Binggrae Coffee Milk,Liquor/Beverage,3,48,0,144
T2025000011,03/11/2025,21:42:00,P0166,Samyang Buldak Original,Noodles,3,88,0,264
T2025000011,03/11/2025,21:42:00,P0038,(Kaya) Korean Rice 1Kg,Dry Food,1,100,0,100
T2025000012,03/11/2025,11:18:00,P0131,Sunhari Yogurt 360mL,Liquor/Beverage,1,120,0,120
T2025000012,03/11/2025,11:18:00,P0281,Haitai Ace Crackers,Snacks,3,85,0,255
T2025000012,03/11/2025,11:18:00,P0245,Honey Butter Almond 190g,Snacks,1,420,0,420
T2025000012,03/11/2025,11:18:00,P0039,Ottogi 3Mins Curry,Dry Food,2,99,0,198
T2025000013,03/11/2025,12:58:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,1,170,0,170
T2025000013,03/11/2025,12:58:00,P0297,Pepero Choco Filled,Snacks,3,55,0,165
T2025000014,03/11/2025,18:57:00,P0245,Honey Butter Almond 190g,Snacks,1,420,0,420
T2025000014,03/11/2025,18:57:00,P0180,Samyang Curry Ramen,Noodles,4,68,0,272
T2025000014,03/11/2025,18:57:00,P0071,Kongsarang Firm Tofu,Food Fresh/Meat/Sidedish,1,65,0,65
T2025000014,03/11/2025,18:57:00,P0188,Nagasaki Jjampong,Noodles,3,60,0,180
T2025000014,03/11/2025,18:57:00,P0123,Cass Cold Brewed Beer 500mL,Liquor/Beverage,2,170,0,340
T2025000015,03/11/2025,17:56:00,P0191,Paldo Teumsae Ramen,Noodles,1,60,0,60
T2025000015,03/11/2025,17:56:00,P0179,Ottogi Ramen Bokki Cup,Noodles,2,69,0,138
T2025000015,03/11/2025,17:56:00,P0182,Paldo Ilpoom Jjajang,Noodles,2,65,0,130
T2025000015,03/11/2025,17:56:00,P0078,Spanish Mackerel 340g,Food Frozen,1,500,0,500
T2025000015,03/11/2025,17:56:00,P0266,Bibigo Seaweed Crisps,Snacks,2,110,0,220
T2025000016,03/11/2025,9:23:00,P0095,Samlip Fish Cake Sheets,Food Frozen,2,150,0,300
T2025000016,03/11/2025,9:23:00,P0008,Ottogi Corn Syrup,Condiments,3,98,0.05,279.3
T2025000016,03/11/2025,9:23:00,P0239,Ottogi Curry Hot,Seasoned/Sauce/Powder,3,115,0,345
T2025000016,03/11/2025,9:23:00,P0194,Shin Ramen Kimchi,Noodles,1,55,0,55
T2025000016,03/11/2025,9:23:00,P0250,Haitai Honey Butter Almonds,Snacks,1,190,0,190
T2025000017,03/11/2025,20:00:00,P0193,Paldo Gomtang Ramen,Noodles,1,56,0,56
T2025000017,03/11/2025,20:00:00,P0177,Ottogi Beef Seaweed Soup Ramen,Noodles,3,70,0,210
T2025000017,03/11/2025,20:00:00,P0152,Samyang Buldak Original Cup,Noodles,1,110,0,110
T2025000017,03/11/2025,20:00:00,P0003,Sempio Sesame Oil,Condiments,2,185,0,370
T2025000017,03/11/2025,20:00:00,P0064,Kimbab Radish 400g,Food Fresh/Meat/Sidedish,1,185,0,185
T2025000018,03/11/2025,18:58:00,P0149,Binggrae Mango Milk,Liquor/Beverage,5,45,0,225
T2025000018,03/11/2025,18:58:00,P0178,Samyang Mala Buldak,Noodles,1,70,0.15,59.5
T2025000018,03/11/2025,18:58:00,P0009,CJ Beksul Corn Syrup,Condiments,3,95,0,285
T2025000018,03/11/2025,18:58:00,P0104,Pepero Original,Food Frozen,1,55,0,55
T2025000019,03/11/2025,18:21:00,P0149,Binggrae Mango Milk,Liquor/Beverage,3,45,0,135
T2025000019,03/11/2025,18:21:00,P0257,Lotte Almond Chocolate,Snacks,2,130,0,260
T2025000019,03/11/2025,18:21:00,P0295,Pepero Almond,Snacks,5,55,0,275
T2025000019,03/11/2025,18:21:00,P0291,Crown Sando Biscuit,Snacks,3,75,0,225
T2025000020,03/11/2025,18:56:00,P0245,Honey Butter Almond 190g,Snacks,1,420,0,420
T2025000020,03/11/2025,18:56:00,P0178,Samyang Mala Buldak,Noodles,5,70,0,350
T2025000020,03/11/2025,18:56:00,P0158,Nongshim Shin Ramen Black,Noodles,1,92,0,92
T2025000020,03/11/2025,18:56:00,P0069,Bibigo Beef Bone Soup,Food Fresh/Meat/Sidedish,2,110,0,220
T2025000020,03/11/2025,18:56:00,P0177,Ottogi Beef Seaweed Soup Ramen,Noodles,2,70,0,140
T2025000021,03/11/2025,18:24:00,P0140,Woongjin Yogurt Peach 340mL,Liquor/Beverage,2,60,0,120
T2025000021,03/11/2025,18:24:00,P0276,Orion Sun Chips Korean BBQ,Snacks,3,90,0,270
T2025000021,03/11/2025,18:24:00,P0292,Orion Goraebab Crackers,Snacks,2,75,0,150
T2025000021,03/11/2025,18:24:00,P0032,Samlip Mini Kimbap,Dry Food,2,120,0,240
T2025000021,03/11/2025,18:24:00,P0080,Samyang Buldak Original Spicy Mandu 700g,Food Frozen,1,410,0,410
T2025000022,03/11/2025,13:03:00,P0264,Lotte Ghana Dark Chocolate,Snacks,2,115,0,230
T2025000022,03/11/2025,13:03:00,P0239,Ottogi Curry Hot,Seasoned/Sauce/Powder,1,115,0,115
T2025000023,03/11/2025,12:37:00,P0122,Chamisul Original Soju,Liquor/Beverage,1,175,0,175
T2025000023,03/11/2025,12:37:00,P0295,Pepero Almond,Snacks,4,55,0,220
T2025000025,03/11/2025,12:13:00,P0295,Pepero Almond,Snacks,1,55,0,55
T2025000025,03/11/2025,12:13:00,P0190,Nongshim Tempura Udon Cup,Noodles,3,60,0,180
T2025000025,03/11/2025,12:13:00,P0194,Shin Ramen Kimchi,Noodles,1,55,0,55
T2025000025,03/11/2025,12:13:00,P0184,Nongshim Baehongdong Bibimyeon 137g,Noodles,2,61,0,122
T2025000025,03/11/2025,12:13:00,P0101,Daerim  Fish Cake Stick,Food Frozen,3,77,0,231
T2025000026,03/11/2025,12:17:00,P0124,Terra Lager Beer 500mL,Liquor/Beverage,1,170,0,170
T2025000026,03/11/2025,12:17:00,P0295,Pepero Almond,Snacks,4,55,0,220
T2025000026,03/11/2025,12:17:00,P0282,Orion Choco Boy,Snacks,2,85,0,170
