Transaction_Id,Date,Time,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Total_Amount
T2025000001,2025-11-03,14:58:00,P0023,Dongwon  Luncheon Meat 340g,Dry Food,5,155.0,0.0,775.0
T2025000001,2025-11-03,14:58:00,P0022,Ottogi Tteokbokki Cup,Dry Food,5,160.0,0.0,800.0
T2025000001,2025-11-03,14:58:00,P0038,(Kaya) Korean Rice 1Kg,Dry Food,4,100.0,0.0,400.0
T2025000001,2025-11-03,14:58:00,P0019,Haepyo Crispy Seaweed 9Pcs,Dry Food,6,188.0,0.0,1128.0
T2025000002,2025-11-03,08:49:00,P0008,Ottogi Corn Syrup,Condiments,5,98.0,0.0,490.0
T2025000002,2025-11-03,08:49:00,P0004,O'Food Korean Chili Oil,Condiments,5,160.0,0.0,800.0
T2025000002,2025-11-03,08:49:00,P0002,Ottogi Gold Mayonnaise 500g,Condiments,1,235.0,0.0,235.0
T2025000002,2025-11-03,08:49:00,P0007,Samyang Spicy Mayo,Condiments,8,130.0,0.1,936.0
T2025000003,2025-11-03,13:31:00,P0002,Ottogi Gold Mayonnaise 500g,Condiments,7,235.0,0.0,1645.0
T2025000003,2025-11-03,13:31:00,P0007,Samyang Spicy Mayo,Condiments,9,130.0,0.0,1170.0
T2025000003,2025-11-03,13:31:00,P0001,Ottogi Sesame Oil 500mL,Condiments,9,590.5,0.0,5314.5
T2025000003,2025-11-03,13:31:00,P0009,CJ Beksul Corn Syrup,Condiments,4,95.0,0.0,380.0
T2025000004,2025-11-03,13:53:00,P0102,MWC Tteok Galbi Bar,Food Frozen,2,75.0,0.0,150.0
T2025000004,2025-11-03,13:53:00,P0075,Bibigo Mul Mandu 370g 2Packs,Food Frozen,4,695.0,0.0,2780.0
T2025000004,2025-11-03,13:53:00,P0097,Daerim  Cheese Vienna Sausage 105g,Food Frozen,5,120.0,0.15,510.0
T2025000004,2025-11-03,13:53:00,P0083,Moguchon Smoked Bacon 200g,Food Frozen,5,320.0,0.15,1360.0
T2025000004,2025-11-03,13:53:00,P0082,Daerim  Crab Sticks 1Kg,Food Frozen,9,350.0,0.0,3150.0
T2025000004,2025-11-03,13:53:00,P0090,Nongmin Rice Cake 1Kg,Food Frozen,2,220.0,0.0,440.0
T2025000005,2025-11-03,17:05:00,P0039,Ottogi 3Mins Curry,Dry Food,3,99.0,0.25,222.75
T2025000005,2025-11-03,17:05:00,P0044,Ottogi Vegetable Soup 80g,Dry Food,5,90.0,0.0,450.0
T2025000006,2025-11-03,08:04:00,P0203,Jin Ramen Spicy Cup,Noodles,2,50.0,0.0,100.0
T2025000006,2025-11-03,08:04:00,P0183,Samyang Kimchi Ramen Bowl,Noodles,4,65.0,0.0,260.0
T2025000006,2025-11-03,08:04:00,P0184,Nongshim Baehongdong Bibimyeon 137g,Noodles,4,61.0,0.0,244.0
T2025000006,2025-11-03,08:04:00,P0208,Ottogi Jin Ramen Mild,Noodles,8,40.0,0.0,320.0
T2025000006,2025-11-03,08:04:00,P0159,Nongshim Neuguri Cup 111g,Noodles,7,90.0,0.0,630.0
T2025000006,2025-11-03,08:04:00,P0207,Ottogi Yeul Ramen 120g,Noodles,5,40.0,0.0,200.0
T2025000007,2025-11-03,21:20:00,P0106,Mocha Gold Coffee 100Sticks,Liquor/Beverage,9,1100.0,0.15,8415.0
T2025000007,2025-11-03,21:20:00,P0147,Binggrae Coffee Milk,Liquor/Beverage,1,48.0,0.0,48.0
T2025000008,2025-11-03,17:15:00,P0207,Ottogi Yeul Ramen 120g,Noodles,8,40.0,0.0,320.0
T2025000009,2025-11-03,11:43:00,P0297,Pepero Choco Filled,Snacks,9,55.0,0.0,495.0
T2025000009,2025-11-03,11:43:00,P0294,Pepero Strawberry,Snacks,4,55.0,0.0,220.0
T2025000009,2025-11-03,11:43:00,P0258,Orion Custard Choco Cake,Snacks,3,130.0,0.0,390.0
T2025000009,2025-11-03,11:43:00,P0259,Nongshim Sengseng U-Dong,Snacks,2,125.0,0.0,250.0
T2025000010,2025-11-03,15:25:00,P0190,Nongshim Tempura Udon Cup,Noodles,5,60.0,0.0,300.0
T2025000011,2025-11-03,09:24:00,P0182,Paldo Ilpoom Jjajang,Noodles,10,65.0,0.0,650.0
T2025000011,2025-11-03,09:24:00,P0206,Nongshim Chapagetti,Noodles,7,45.0,0.0,315.0
T2025000011,2025-11-03,09:24:00,P0168,Samyang Carbo Buldak,Noodles,2,88.0,0.0,176.0
T2025000012,2025-11-03,18:56:00,P0036,Dongwon  Tuna Light Can 150g,Dry Food,5,110.0,0.0,550.0
T2025000012,2025-11-03,18:56:00,P0046,CJ Beksul Potato Starch,Dry Food,3,85.0,0.0,255.0
T2025000012,2025-11-03,18:56:00,P0019,Haepyo Crispy Seaweed 9Pcs,Dry Food,3,188.0,0.0,564.0
T2025000013,2025-11-03,20:34:00,P0033,CJ Beksul Frying Mix,Dry Food,6,120.0,0.0,720.0
T2025000013,2025-11-03,20:34:00,P0020,CJ Beksul Hotteok Mix,Dry Food,8,185.0,0.0,1480.0
T2025000013,2025-11-03,20:34:00,P0018,(Kaya) Korean Rice 1.5Kg,Dry Food,6,190.0,0.0,1140.0
T2025000014,2025-11-03,19:34:00,P0053,Shine Spicy Pork Bulgogi Pack,Food Fresh/Meat/Sidedish,5,500.0,0.0,2500.0
T2025000014,2025-11-03,19:34:00,P0064,Kimbab Radish 400g,Food Fresh/Meat/Sidedish,7,185.0,0.0,1295.0
T2025000014,2025-11-03,19:34:00,P0073,Perilla Leaves 2Packs,Food Fresh/Meat/Sidedish,10,40.0,0.0,400.0
T2025000014,2025-11-03,19:34:00,P0056,Us Beef Strips 500g,Food Fresh/Meat/Sidedish,6,375.0,0.0,2250.0
T2025000015,2025-11-03,18:38:00,P0036,Dongwon  Tuna Light Can 150g,Dry Food,4,110.0,0.0,440.0
T2025000015,2025-11-03,18:38:00,P0039,Ottogi 3Mins Curry,Dry Food,2,99.0,0.0,198.0
T2025000015,2025-11-03,18:38:00,P0028,CJ Bibigo Seaweed Soup,Dry Food,7,140.0,0.0,980.0
T2025000016,2025-11-03,21:03:00,P0052,Shine Beef Bulgogi Pack,Food Fresh/Meat/Sidedish,7,550.0,0.25,2887.5
T2025000016,2025-11-03,21:03:00,P0068,Enoki Mushroom 150G 2Packs,Food Fresh/Meat/Sidedish,8,120.0,0.0,960.0
T2025000016,2025-11-03,21:03:00,P0063,Our Home Kimchi 1Kg Jar,Food Fresh/Meat/Sidedish,2,190.0,0.0,380.0
T2025000016,2025-11-03,21:03:00,P0061,Dried Anchovy Medium 100g,Food Fresh/Meat/Sidedish,2,240.0,0.0,480.0
T2025000017,2025-11-03,20:47:00,P0295,Pepero Almond,Snacks,2,55.0,0.0,110.0
T2025000017,2025-11-03,20:47:00,P0256,Orion Custard Cake,Snacks,6,130.0,0.0,780.0
T2025000018,2025-11-03,11:51:00,P0236,CJ  Soybean Paste 500g,Seasoned/Sauce/Powder,3,123.0,0.0,369.0
